age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
513304.7,1.9355,1.3078,0.51,0.0,0.51,0.51,0.0,5.1369,0.0
551213.1,1.8864,1.2306,0.51,0.0,0.51,0.51,0.0,4.8851,0.0
592345.8,1.8388,1.1577,0.51,0.0,0.51,0.51,0.0,4.6467,0.0
636894.0,1.7926,1.0892,0.51,0.0,0.51,0.51,0.0,4.4212,0.0
685518.2,1.7476,1.0243,0.51,0.0,0.51,0.51,0.0,4.2064,0.0
738643.7,1.7037,0.963,0.51,0.0,0.51,0.51,0.0,4.0017,0.0
796576.2,1.6608,0.9052,0.51,0.0,0.51,0.51,0.0,3.8069,0.0
859691.6,1.6192,0.8507,0.51,0.0,0.51,0.51,0.0,3.6219,0.0
928414.6,1.5786,0.7996,0.51,0.0,0.51,0.51,0.0,3.4462,0.0
1003229.9,1.5392,0.7518,0.51,0.0,0.51,0.51,0.0,3.2792,0.0
1084564.9,1.5009,0.707,0.51,0.0,0.51,0.51,0.0,3.1208,0.0
1173106.5,1.4635,0.6651,0.51,0.0,0.51,0.51,0.0,2.9702,0.0
1269590.3,1.4271,0.6259,0.51,0.0,0.51,0.51,0.0,2.8268,0.0
1374297.7,1.3918,0.5893,0.51,0.0,0.51,0.51,0.0,2.6908,0.0
1488276.7,1.3573,0.555,0.51,0.0,0.51,0.51,0.0,2.5613,0.0
1612234.1,1.3237,0.5229,0.51,0.0,0.51,0.51,0.0,2.4381,0.0
1746735.5,1.291,0.493,0.51,0.0,0.51,0.51,0.0,2.321,0.0
1892685.4,1.2592,0.4652,0.51,0.0,0.51,0.51,0.0,2.2098,0.0
2051147.3,1.2282,0.4395,0.51,0.0,0.51,0.51,0.0,2.1038,0.0
2222934.5,1.1979,0.4155,0.51,0.0,0.51,0.51,0.0,2.0029,0.0
2408874.2,1.1685,0.3929,0.51,0.0,0.51,0.51,0.0,1.907,0.0
2609446.5,1.1399,0.3716,0.51,0.0,0.51,0.51,0.0,1.8161,0.0
2827139.6,1.1119,0.3516,0.51,0.0,0.51,0.51,0.0,1.7294,0.0
3062561.8,1.0847,0.332,0.51,0.0,0.51,0.51,0.0,1.6469,0.0
3316708.7,1.0583,0.315,0.51,0.087,0.51,0.5083,0.0009,1.5687,0.0
3591281.0,1.0325,0.2982,0.51,0.1117,0.51,0.5062,0.0024,1.4941,0.0001
3888588.2,1.0074,0.2824,0.51,0.1358,0.51,0.5027,0.0038,1.423,0.0002
4208436.1,0.9831,0.2676,0.51,0.1543,0.51,0.4985,0.0073,1.3553,0.0007
4554826.5,0.9594,0.2536,0.51,0.1736,0.51,0.4927,0.0149,1.2897,0.0022
4930618.8,0.9362,0.2404,0.51,0.2017,0.51,0.4816,0.0263,1.2252,0.0054
