age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
525853.7,2.5666,1.6279,0.65,0.0,0.65,0.65,0.0,11.437,0.0
563511.6,2.5005,1.5348,0.65,0.0,0.65,0.65,0.0,10.8688,0.0
604849.4,2.4357,1.4459,0.65,0.0,0.65,0.65,0.0,10.3245,0.0
649337.0,2.3733,1.3624,0.65,0.0,0.65,0.65,0.0,9.8133,0.0
697597.8,2.3127,1.2837,0.65,0.0,0.65,0.65,0.0,9.3291,0.0
750269.5,2.2536,1.2089,0.65,0.0,0.65,0.65,0.0,8.8678,0.0
807743.6,2.1959,1.1381,0.65,0.0,0.65,0.65,0.0,8.4287,0.0
869984.6,2.14,1.0716,0.65,0.0,0.65,0.65,0.0,8.0137,0.0
938084.4,2.0854,1.0084,0.65,0.0,0.65,0.65,0.0,7.6176,0.0
1012606.6,2.032,0.9486,0.65,0.0,0.65,0.65,0.0,7.2397,0.0
1093829.7,1.98,0.8923,0.65,0.0,0.65,0.65,0.0,6.8807,0.0
1181352.7,1.93,0.8397,0.65,0.0,0.65,0.65,0.0,6.5434,0.0
1277475.8,1.8808,0.7899,0.65,0.0,0.65,0.65,0.0,6.2202,0.0
1382265.7,1.833,0.7429,0.65,0.0,0.65,0.65,0.0,5.913,0.0
1495765.1,1.7866,0.6991,0.65,0.0,0.65,0.65,0.0,5.6228,0.0
1618689.3,1.7418,0.6582,0.65,0.0,0.65,0.65,0.0,5.3485,0.0
1753225.8,1.6978,0.6195,0.65,0.0,0.65,0.65,0.0,5.0863,0.0
1899885.2,1.655,0.5831,0.65,0.0,0.65,0.65,0.0,4.8369,0.0
2059272.7,1.6133,0.549,0.65,0.0,0.65,0.65,0.0,4.6002,0.0
2233308.9,1.5726,0.5169,0.65,0.0,0.65,0.65,0.0,4.3745,0.0
2422176.9,1.5331,0.4869,0.65,0.0,0.65,0.65,0.0,4.1606,0.0
2626812.3,1.4948,0.4589,0.65,0.0,0.65,0.65,0.0,3.9581,0.0
2847305.9,1.4577,0.4328,0.65,0.0,0.65,0.65,0.0,3.7671,0.0
3089055.2,1.4213,0.4081,0.65,0.0,0.65,0.65,0.0,3.5838,0.0
3352745.7,1.3857,0.3848,0.65,0.0,0.65,0.65,0.0,3.4089,0.0
3638011.6,1.3511,0.3631,0.65,0.0,0.65,0.65,0.0,3.2433,0.0
3946992.4,1.3176,0.3426,0.65,0.0,0.65,0.65,0.0,3.0862,0.0
4281736.2,1.2849,0.3235,0.65,0.0,0.65,0.65,0.0,2.937,0.0
4647030.7,1.2529,0.3052,0.65,0.0,0.65,0.65,0.0,2.7944,0.0
5042517.1,1.2218,0.2886,0.65,0.0914,0.65,0.6483,0.0011,2.6591,0.0
5469333.4,1.1917,0.2728,0.65,0.1244,0.65,0.6456,0.0026,2.5309,0.0002
5934938.4,1.1622,0.2579,0.65,0.1761,0.65,0.6368,0.0081,2.4075,0.001
6439573.0,1.1335,0.2439,0.65,0.1917,0.65,0.6318,0.0132,2.2898,0.0021
6984158.5,1.1057,0.2308,0.65,0.2138,0.65,0.6232,0.0228,2.1765,0.005
7571834.6,1.0788,0.2186,0.65,0.2474,0.65,0.6066,0.0397,2.0647,0.0122
8213436.3,1.0524,0.2073,0.65,0.2671,0.65,0.5924,0.0537,1.9571,0.0193
8907378.6,1.0268,0.1968,0.65,0.2758,0.65,0.5825,0.0655,1.8552,0.0256
9659504.3,1.002,0.1871,0.65,0.2913,0.65,0.5662,0.0797,1.7557,0.034
10471907.6,0.9779,0.178,0.65,0.3042,0.65,0.5495,0.0963,1.6583,0.0448
11342521.7,0.9548,0.1696,0.65,0.3149,0.65,0.5324,0.1133,1.5649,0.0562
12292228.1,0.9322,0.1617,0.65,0.3258,0.65,0.5131,0.1326,1.4722,0.0701
13322013.5,0.9104,0.1542,0.65,0.3328,0.65,0.4959,0.1498,1.3848,0.0822
14437579.1,0.8892,0.1473,0.65,0.3384,0.65,0.4788,0.1669,1.301,0.0941
15651879.9,0.8687,0.1408,0.65,0.3428,0.65,0.4618,0.184,1.2206,0.1057
16970309.0,0.8489,0.1347,0.65,0.3493,0.65,0.4408,0.205,1.1392,0.1212
18396185.1,0.8299,0.1292,0.65,0.3544,0.65,0.4202,0.2278,1.0592,0.1383
19950222.9,0.8116,0.124,0.65,0.3584,0.65,0.4001,0.2459,0.9873,0.1499
21637302.0,0.7941,0.1193,0.65,0.3612,0.65,0.3805,0.2657,0.917,0.1626
23474895.7,0.7774,0.115,0.65,0.3656,0.65,0.3577,0.2886,0.8458,0.1785
25489067.7,0.7613,0.1111,0.65,0.37,0.65,0.334,0.3125,0.7762,0.1948
27686284.9,0.7462,0.1077,0.65,0.3721,0.65,0.313,0.3335,0.7129,0.2069
30101247.4,0.7319,0.1048,0.65,0.3764,0.65,0.2882,0.357,0.6494,0.221
32750529.4,0.7186,0.1025,0.65,0.3796,0.65,0.2648,0.3822,0.5864,0.2365
35656377.5,0.7064,0.1008,0.65,0.3827,0.65,0.2414,0.4043,0.53,0.2471
38911678.8,0.6953,0.0997,0.65,0.3845,0.65,0.2197,0.4277,0.4742,0.258
42545614.1,0.6854,0.0996,0.65,0.3915,0.65,0.1913,0.4552,0.415,0.2734
46600018.7,0.677,0.1006,0.65,0.3928,0.65,0.1712,0.4745,0.3693,0.2765
51114248.4,0.6701,0.1031,0.65,0.399,0.65,0.1462,0.5,0.3171,0.2873
55993368.5,0.6645,0.1069,0.65,0.4036,0.65,0.1252,0.5215,0.2726,0.2927
61187560.2,0.6594,0.112,0.65,0.4093,0.65,0.1055,0.5416,0.2314,0.2975
66733066.7,0.6534,0.1175,0.65,0.413,0.65,0.0898,0.5577,0.1972,0.2978
72734602.2,0.645,0.122,0.65,0.4136,0.65,0.0783,0.5695,0.1703,0.2941
79385721.2,0.6337,0.1225,0.65,0.4127,0.65,0.0696,0.5794,0.1472,0.2924
87536762.3,0.6187,0.1159,0.65,0.4077,0.65,0.0658,0.5823,0.1359,0.2875
93808396.6,0.6087,0.1085,0.65,0.4061,0.65,0.064,0.5842,0.1298,0.2893
98922138.7,0.6028,0.1034,0.65,0.4024,0.65,0.0658,0.5823,0.131,0.2878
118192878.2,0.5965,0.0961,0.65,0.3992,0.65,0.0696,0.5794,0.1347,0.29
164607047.3,0.6004,0.0965,0.65,0.4001,0.65,0.0721,0.5759,0.142,0.2904
280100352.7,0.6029,0.0967,0.65,0.4003,0.65,0.0741,0.5738,0.1466,0.2912
567484654.3,0.6063,0.0972,0.65,0.3983,0.65,0.0783,0.5695,0.1548,0.2891
1282588759.6,0.6104,0.0985,0.65,0.4011,0.65,0.0783,0.5695,0.157,0.2921
3061996607.0,0.6167,0.1016,0.65,0.4037,0.65,0.0783,0.5695,0.1595,0.2934
7005356092.1,0.6282,0.1084,0.65,0.407,0.65,0.0783,0.5695,0.1635,0.2925
11498812246.1,0.6413,0.1173,0.65,0.416,0.65,0.0741,0.5738,0.1613,0.2971
16450934661.6,0.6567,0.129,0.6499,0.423,0.65,0.072,0.5759,0.1631,0.2978
21309318196.2,0.6739,0.1432,0.6499,0.4301,0.65,0.0705,0.5779,0.1656,0.2985
22258828112.4,0.6776,0.1464,0.6499,0.4312,0.65,0.0705,0.5779,0.1669,0.298
25997989187.6,0.6934,0.1607,0.6499,0.4376,0.65,0.0695,0.5794,0.1698,0.2986
30218956805.2,0.7143,0.1809,0.6498,0.4446,0.65,0.0695,0.5794,0.1773,0.2968
33819744991.5,0.7362,0.2032,0.6498,0.4525,0.65,0.0694,0.5794,0.1856,0.2961
36831021714.5,0.7589,0.2272,0.6498,0.4613,0.65,0.0694,0.5794,0.1947,0.2967
39306129384.3,0.7824,0.2524,0.6498,0.4711,0.65,0.0694,0.5794,0.2047,0.2985
41338085744.6,0.8065,0.2786,0.6497,0.4798,0.65,0.0703,0.5779,0.2186,0.2986
43013484045.9,0.831,0.3052,0.6497,0.488,0.65,0.0718,0.5759,0.2347,0.2987
44242382977.0,0.852,0.3279,0.6497,0.4893,0.65,0.0759,0.5717,0.2546,0.2943
44871404064.2,0.8643,0.3409,0.6497,0.4954,0.65,0.0759,0.5717,0.2614,0.2974
45284746831.9,0.8733,0.3504,0.6497,0.4954,0.65,0.078,0.5695,0.2714,0.2951
45619602862.5,0.8813,0.3586,0.6497,0.4995,0.65,0.078,0.5695,0.2761,0.2975
45911156603.0,0.8887,0.3663,0.6497,0.4986,0.65,0.0802,0.5673,0.2856,0.2949
46171895260.6,0.8958,0.3735,0.6496,0.5024,0.65,0.0802,0.5673,0.2901,0.2973
46407885856.4,0.9027,0.3804,0.6496,0.5062,0.65,0.0801,0.5673,0.2944,0.2997
46622497249.4,0.9093,0.3869,0.6496,0.5048,0.65,0.0824,0.565,0.3039,0.2969
46702901350.2,0.9118,0.3894,0.6496,0.5063,0.65,0.0824,0.565,0.3056,0.2979
