age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
522780.4,1.8531,0.8873,0.4,0.0,0.4,0.4,0.0,3.6753,0.0
558671.5,1.8061,0.8366,0.4,0.0,0.4,0.4,0.0,3.4961,0.0
597630.8,1.7604,0.7888,0.4,0.0,0.4,0.4,0.0,3.326,0.0
639914.3,1.716,0.7438,0.4,0.0,0.4,0.4,0.0,3.1644,0.0
685783.6,1.6728,0.7014,0.4,0.0,0.4,0.4,0.0,3.011,0.0
735454.3,1.6309,0.6616,0.4,0.0,0.4,0.4,0.0,2.8656,0.0
789433.4,1.5901,0.6241,0.4,0.0,0.4,0.4,0.0,2.7272,0.0
847981.7,1.5503,0.5888,0.4,0.0,0.4,0.4,0.0,2.5957,0.0
911468.8,1.5117,0.5556,0.4,0.0,0.4,0.4,0.0,2.4707,0.0
980278.5,1.4741,0.5244,0.4,0.0,0.4,0.4,0.0,2.3521,0.0
1054850.7,1.4375,0.4951,0.4,0.0,0.4,0.4,0.0,2.2393,0.0
1135652.2,1.402,0.4675,0.4,0.0,0.4,0.4,0.0,2.1321,0.0
1223160.9,1.3673,0.4415,0.4,0.0,0.4,0.4,0.0,2.0303,0.0
1317726.9,1.3337,0.4172,0.4,0.0,0.4,0.4,0.0,1.9336,0.0
1420298.1,1.3009,0.3942,0.4,0.0,0.4,0.4,0.0,1.8416,0.0
1531268.9,1.269,0.3726,0.4,0.0,0.4,0.4,0.0,1.7541,0.0
1651309.6,1.238,0.3523,0.4,0.0,0.4,0.4,0.0,1.6709,0.0
1781139.2,1.2078,0.3332,0.4,0.0,0.4,0.4,0.0,1.5918,0.0
1920996.4,1.1785,0.3153,0.4,0.0,0.4,0.4,0.0,1.5168,0.0
2072626.1,1.1498,0.2984,0.4,0.0,0.4,0.4,0.0,1.4453,0.0
2236366.0,1.122,0.2825,0.4,0.0,0.4,0.4,0.0,1.3772,0.0
2413459.9,1.0948,0.2674,0.4,0.0,0.4,0.4,0.0,1.3124,0.0
2604628.3,1.0683,0.2533,0.4,0.0,0.4,0.4,0.0,1.2508,0.0
2810868.6,1.0426,0.2399,0.4,0.0,0.4,0.4,0.0,1.1922,0.0
3033480.3,1.0175,0.2273,0.4,0.0,0.4,0.4,0.0,1.1365,0.0
3273133.9,0.9932,0.2155,0.4,0.0,0.4,0.4,0.0,1.0835,0.0
3531988.4,0.9694,0.2043,0.4,0.0,0.4,0.4,0.0,1.033,0.0
3810759.3,0.9463,0.1938,0.4,0.0,0.4,0.4,0.0,0.985,0.0
4111298.1,0.9237,0.1838,0.4,0.0,0.4,0.4,0.0,0.9393,0.0
4434907.6,0.9018,0.1745,0.4,0.0,0.4,0.4,0.0,0.8958,0.0
4783091.9,0.8804,0.1656,0.4,0.0,0.4,0.4,0.0,0.8544,0.0
5158688.7,0.8595,0.1572,0.4,0.0,0.4,0.4,0.0,0.815,0.0
5563011.4,0.8392,0.1493,0.4,0.0,0.4,0.4,0.0,0.7774,0.0
5997636.4,0.8194,0.1419,0.4,0.0,0.4,0.4,0.0,0.7416,0.0
6465090.9,0.8001,0.1349,0.4,0.0221,0.4,0.3999,0.0,0.7075,0.0
6967562.3,0.7813,0.1282,0.4,0.0,0.4,0.4,0.0,0.6751,0.0
7507209.1,0.763,0.1219,0.4,0.0799,0.4,0.3973,0.0013,0.6442,0.0
8087219.3,0.7452,0.116,0.4,0.1008,0.4,0.3942,0.0027,0.6147,0.0001
8708162.6,0.7279,0.1104,0.4,0.0985,0.4,0.3942,0.0027,0.5868,0.0001
9379139.7,0.7109,0.1051,0.4,0.1157,0.4,0.3901,0.0074,0.5597,0.0004
10099820.9,0.6944,0.1,0.4,0.138,0.4,0.3825,0.0145,0.5333,0.0013
10873682.7,0.6783,0.0953,0.4,0.148,0.4,0.3772,0.0212,0.5079,0.0023
11705813.9,0.6626,0.0908,0.4,0.1585,0.4,0.3704,0.0273,0.4836,0.0034
12599804.8,0.6474,0.0865,0.4,0.1674,0.4,0.3634,0.0354,0.4598,0.0051
13560392.3,0.6325,0.0825,0.4,0.1729,0.4,0.3572,0.0403,0.4377,0.0061
14591342.6,0.6181,0.0787,0.4,0.1793,0.4,0.3497,0.0478,0.4159,0.0077
15699517.8,0.6041,0.0752,0.4,0.1863,0.4,0.3407,0.0567,0.3945,0.0099
16889635.7,0.5904,0.0718,0.4,0.1922,0.4,0.3316,0.0658,0.3739,0.0122
18169441.4,0.5771,0.0686,0.4,0.1958,0.4,0.3237,0.0736,0.3544,0.0141
19546376.3,0.5642,0.0656,0.4,0.1987,0.4,0.3158,0.0816,0.3357,0.0161
21026320.5,0.5516,0.0627,0.4,0.2035,0.4,0.3052,0.0921,0.3168,0.019
22616832.4,0.5394,0.06,0.4,0.2052,0.4,0.2973,0.1001,0.2996,0.0208
24324734.6,0.5275,0.0575,0.4,0.2086,0.4,0.2868,0.1106,0.2821,0.0237
26166926.3,0.516,0.0551,0.4,0.2104,0.4,0.2777,0.1197,0.2659,0.0259
28151191.9,0.5048,0.0528,0.4,0.2117,0.4,0.2688,0.1287,0.2504,0.028
30290165.1,0.494,0.0507,0.4,0.2136,0.4,0.2586,0.1388,0.2351,0.0306
32591304.5,0.4835,0.0487,0.4,0.2149,0.4,0.2487,0.1488,0.2205,0.0329
35082297.4,0.4733,0.0468,0.4,0.2159,0.4,0.239,0.1586,0.2066,0.0351
37779266.4,0.4634,0.045,0.4,0.218,0.4,0.2271,0.1705,0.1924,0.0382
40696770.1,0.4539,0.0433,0.4,0.2182,0.4,0.2179,0.1798,0.1799,0.04
43874040.8,0.4447,0.0417,0.4,0.2195,0.4,0.2067,0.1911,0.1671,0.0425
47342410.3,0.4358,0.0402,0.4,0.2191,0.4,0.198,0.1998,0.1559,0.0439
51149903.5,0.4272,0.0388,0.4,0.2209,0.4,0.1855,0.2135,0.1432,0.0473
55350987.3,0.4189,0.0375,0.4,0.2211,0.4,0.1755,0.2226,0.1329,0.0486
60028145.6,0.4109,0.0363,0.4,0.2217,0.4,0.1649,0.2332,0.1225,0.0505
65279608.8,0.4032,0.0352,0.4,0.2225,0.4,0.154,0.2443,0.1124,0.0526
71294500.7,0.3958,0.0341,0.4,0.222,0.4,0.1453,0.253,0.1037,0.0536
78323329.3,0.3886,0.0331,0.4,0.2229,0.4,0.1345,0.2639,0.0945,0.0556
86787854.4,0.3815,0.0321,0.4,0.2227,0.4,0.126,0.2725,0.0868,0.0567
97456418.1,0.3745,0.0311,0.4,0.2232,0.4,0.1171,0.28,0.08,0.0575
112180702.9,0.3673,0.0299,0.4,0.2214,0.4,0.1129,0.2843,0.075,0.0573
136549144.7,0.36,0.0286,0.4,0.2186,0.4,0.1129,0.2843,0.0727,0.0564
152660170.5,0.3575,0.028,0.4,0.2167,0.4,0.1157,0.2829,0.0727,0.056
190095129.5,0.356,0.0276,0.4,0.2118,0.4,0.126,0.2725,0.0771,0.0526
322342193.2,0.3589,0.0279,0.4,0.2089,0.4,0.1378,0.2598,0.0842,0.0495
644238337.7,0.3629,0.0283,0.4,0.2084,0.4,0.1453,0.253,0.0894,0.0487
1144238337.7,0.3654,0.0287,0.4,0.2076,0.4,0.1504,0.2478,0.0928,0.0476
1644238337.7,0.3665,0.0288,0.4,0.2082,0.4,0.1504,0.2478,0.0934,0.0479
2144238337.7,0.3672,0.029,0.4,0.2085,0.4,0.1504,0.2478,0.0937,0.048
2644238337.7,0.3678,0.0291,0.4,0.2086,0.4,0.1504,0.2478,0.0939,0.048
3144238337.7,0.3683,0.0292,0.4,0.2087,0.4,0.1504,0.2478,0.0941,0.048
