age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
527355.9,2.8786,2.6915,0.89,0.0,0.89,0.89,0.0,19.8279,0.0
565680.2,2.8037,2.5465,0.89,0.0,0.89,0.89,0.0,18.8279,0.0
607078.5,2.7311,2.4092,0.89,0.0,0.89,0.89,0.0,17.8821,0.0
651939.4,2.6605,2.2788,0.89,0.0,0.89,0.89,0.0,16.9846,0.0
700642.8,2.5916,2.1541,0.89,0.0,0.89,0.89,0.0,16.1318,0.0
753461.2,2.5247,2.0362,0.89,0.0,0.89,0.89,0.0,15.3226,0.0
810564.1,2.4598,1.9237,0.89,0.0,0.89,0.89,0.0,14.5572,0.0
872518.6,2.3966,1.8166,0.89,0.0,0.89,0.89,0.0,13.831,0.0
939574.3,2.3354,1.715,0.89,0.0,0.89,0.89,0.0,13.1436,0.0
1012522.8,2.2756,1.6189,0.89,0.0,0.89,0.89,0.0,12.4897,0.0
1092008.3,2.2173,1.527,0.89,0.0,0.89,0.89,0.0,11.8671,0.0
1178289.6,2.1607,1.4398,0.89,0.0,0.89,0.89,0.0,11.2768,0.0
1271552.2,2.1058,1.3574,0.89,0.0,0.89,0.89,0.0,10.7194,0.0
1373168.7,2.0523,1.2791,0.89,0.0,0.89,0.89,0.0,10.189,0.0
1483133.3,2.0005,1.2051,0.89,0.0,0.89,0.89,0.0,9.6877,0.0
1603570.4,1.9497,1.1346,0.89,0.0,0.89,0.89,0.0,9.2084,0.0
1734666.6,1.9002,1.068,0.89,0.0,0.89,0.89,0.0,8.7533,0.0
1876802.6,1.8523,1.0048,0.89,0.0,0.89,0.89,0.0,8.3229,0.0
2031327.2,1.8057,0.9452,0.89,0.0,0.89,0.89,0.0,7.9147,0.0
2199227.1,1.7605,0.8876,0.89,0.0,0.89,0.89,0.0,7.528,0.0
2383164.4,1.7162,0.836,0.89,0.1406,0.89,0.887,0.0015,7.1585,0.0001
2582088.1,1.6735,0.7862,0.89,0.1921,0.89,0.8819,0.0053,6.8093,0.0008
2800386.6,1.6316,0.739,0.89,0.2512,0.89,0.8709,0.0137,6.473,0.0037
3036824.0,1.5912,0.695,0.89,0.2937,0.89,0.8577,0.0291,6.1495,0.0125
3295756.8,1.5518,0.6536,0.89,0.324,0.89,0.844,0.0413,5.8401,0.0215
3579025.0,1.5134,0.6149,0.89,0.3589,0.89,0.8242,0.0607,5.536,0.0392
3888859.2,1.4761,0.5787,0.89,0.3871,0.89,0.803,0.0816,5.2407,0.0615
4227396.1,1.44,0.545,0.89,0.4061,0.89,0.7837,0.1021,4.9568,0.0856
4589851.1,1.4056,0.5144,0.89,0.4257,0.89,0.7609,0.1233,4.6873,0.1123
4992838.1,1.3717,0.4856,0.89,0.445,0.89,0.7348,0.1493,4.4157,0.1482
5434029.7,1.3388,0.459,0.89,0.4609,0.89,0.7084,0.1757,4.1526,0.1861
5915181.5,1.3071,0.4346,0.89,0.4711,0.89,0.6848,0.1993,3.9049,0.2193
6442935.7,1.2764,0.4121,0.89,0.4845,0.89,0.6555,0.2287,3.6546,0.2641
7019268.2,1.2468,0.3917,0.89,0.4953,0.89,0.6264,0.2578,3.4139,0.3085
7644854.6,1.2186,0.3732,0.89,0.504,0.89,0.5978,0.2865,3.1843,0.3517
8334938.2,1.1912,0.3564,0.89,0.5106,0.89,0.5697,0.3148,2.9634,0.3925
9084278.6,1.165,0.3415,0.89,0.5156,0.89,0.5422,0.3423,2.754,0.4303
9908788.8,1.1399,0.3283,0.89,0.5264,0.89,0.505,0.3797,2.5285,0.4899
10809232.3,1.1159,0.3169,0.89,0.5296,0.89,0.4769,0.408,2.3339,0.5254
11791181.2,1.0932,0.3074,0.89,0.5365,0.89,0.4426,0.4426,2.132,0.5744
