age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
508928.9,1.9155,1.2353,0.49,0.0,0.49,0.49,0.0,4.8295,0.0
546405.5,1.8669,1.1617,0.49,0.0,0.49,0.49,0.0,4.5928,0.0
587190.6,1.8196,1.0924,0.49,0.0,0.49,0.49,0.0,4.3681,0.0
631584.2,1.7736,1.0272,0.49,0.0,0.49,0.49,0.0,4.1549,0.0
679807.9,1.729,0.9657,0.49,0.0,0.49,0.49,0.0,3.9528,0.0
732412.3,1.6855,0.9077,0.49,0.0,0.49,0.49,0.0,3.7606,0.0
789757.7,1.6432,0.8532,0.49,0.0,0.49,0.49,0.0,3.5778,0.0
852076.7,1.6021,0.8022,0.49,0.0,0.49,0.49,0.0,3.4044,0.0
919842.2,1.5621,0.7545,0.49,0.0,0.49,0.49,0.0,3.2399,0.0
993804.6,1.5231,0.7097,0.49,0.0,0.49,0.49,0.0,3.083,0.0
1074365.5,1.485,0.6678,0.49,0.0,0.49,0.49,0.0,2.9338,0.0
1161981.2,1.448,0.6286,0.49,0.0,0.49,0.49,0.0,2.7921,0.0
1257246.3,1.412,0.592,0.49,0.0,0.49,0.49,0.0,2.6574,0.0
1360751.7,1.377,0.5577,0.49,0.0,0.49,0.49,0.0,2.5293,0.0
1472812.7,1.3429,0.5258,0.49,0.0,0.49,0.49,0.0,2.4079,0.0
1594008.5,1.3099,0.496,0.49,0.0,0.49,0.49,0.0,2.2929,0.0
1726276.6,1.2776,0.4682,0.49,0.0,0.49,0.49,0.0,2.1829,0.0
1869256.7,1.2461,0.4425,0.49,0.0,0.49,0.49,0.0,2.0785,0.0
2024573.5,1.2154,0.4184,0.49,0.0,0.49,0.49,0.0,1.9789,0.0
2192914.4,1.1855,0.3957,0.49,0.0,0.49,0.49,0.0,1.884,0.0
2375045.9,1.1563,0.3744,0.49,0.0,0.49,0.49,0.0,1.7938,0.0
2572166.9,1.1279,0.3543,0.49,0.0,0.49,0.49,0.0,1.708,0.0
2785274.4,1.1003,0.3353,0.49,0.0,0.49,0.49,0.0,1.6265,0.0
3015128.6,1.0734,0.3174,0.49,0.0,0.49,0.49,0.0,1.5491,0.0
3264007.0,1.0472,0.3006,0.49,0.0,0.49,0.49,0.0,1.4753,0.0
3532793.9,1.0217,0.2844,0.49,0.0,0.49,0.49,0.0,1.4053,0.0
3822344.9,0.9969,0.2697,0.49,0.082,0.49,0.4884,0.0008,1.3387,0.0
4135354.9,0.9727,0.2556,0.49,0.1015,0.49,0.4867,0.0016,1.2753,0.0001
4473926.1,0.9491,0.2423,0.49,0.1281,0.49,0.4829,0.0033,1.2148,0.0002
4839617.4,0.9262,0.2297,0.49,0.1455,0.49,0.479,0.0071,1.1569,0.0006
5233708.1,0.9039,0.2179,0.49,0.1791,0.49,0.4686,0.019,1.1,0.003
5659407.2,0.8822,0.2067,0.49,0.195,0.49,0.4607,0.0266,1.0459,0.005
6119183.6,0.8611,0.1962,0.49,0.2081,0.49,0.4524,0.0348,0.9939,0.0076
6615214.2,0.8407,0.1863,0.49,0.2191,0.49,0.4436,0.0434,0.9438,0.0105
7152983.4,0.8207,0.177,0.49,0.2329,0.49,0.4315,0.0554,0.8941,0.0152
7733026.9,0.8013,0.1682,0.49,0.238,0.49,0.4237,0.0632,0.8483,0.018
8358046.7,0.7825,0.1599,0.49,0.2481,0.49,0.411,0.0758,0.8021,0.0235
9036940.9,0.7641,0.1521,0.49,0.2566,0.49,0.3982,0.0886,0.7572,0.0292
9767849.1,0.7464,0.1448,0.49,0.2603,0.49,0.3885,0.0983,0.716,0.0333
10560834.8,0.7291,0.1379,0.49,0.2679,0.49,0.3739,0.1129,0.6734,0.0402
11417512.6,0.7124,0.1315,0.49,0.2713,0.49,0.3626,0.1242,0.6345,0.0452
12343825.3,0.6961,0.1254,0.49,0.2753,0.49,0.3497,0.1371,0.5962,0.051
13342503.1,0.6804,0.1197,0.49,0.2798,0.49,0.3355,0.1514,0.5586,0.0578
14422978.3,0.6653,0.1144,0.49,0.2822,0.49,0.323,0.1639,0.5237,0.0632
15599113.7,0.6505,0.1094,0.49,0.2838,0.49,0.3107,0.1762,0.4903,0.0682
16870741.0,0.6362,0.1048,0.49,0.287,0.49,0.2957,0.1928,0.4553,0.0761
18249099.3,0.6225,0.1005,0.49,0.2884,0.49,0.2825,0.2046,0.4252,0.0802
19743590.5,0.6092,0.0965,0.49,0.2912,0.49,0.2669,0.2217,0.3925,0.0881
21363723.8,0.5964,0.0928,0.49,0.2933,0.49,0.2518,0.2355,0.3637,0.0931
23121392.0,0.5842,0.0894,0.49,0.2964,0.49,0.2348,0.252,0.334,0.1001
25032273.5,0.5725,0.0863,0.49,0.2963,0.49,0.2222,0.2641,0.309,0.1032
27107728.7,0.5613,0.0835,0.49,0.298,0.49,0.2066,0.281,0.2814,0.1099
29364524.0,0.5506,0.0811,0.49,0.2992,0.49,0.1918,0.2948,0.2575,0.1138
31839881.3,0.5405,0.0789,0.49,0.3005,0.49,0.1768,0.3111,0.2326,0.1193
34555078.3,0.5309,0.0771,0.49,0.3025,0.49,0.1609,0.3253,0.2105,0.1228
37538278.8,0.522,0.0756,0.49,0.3039,0.49,0.1461,0.3422,0.1871,0.1283
40822505.1,0.5136,0.0745,0.49,0.3059,0.49,0.1308,0.356,0.1672,0.1309
44462444.9,0.5057,0.0738,0.49,0.3085,0.49,0.1153,0.3732,0.1453,0.1363
48491118.2,0.4984,0.0735,0.49,0.3099,0.49,0.1022,0.3852,0.1286,0.1372
52979727.4,0.4913,0.0735,0.49,0.3119,0.49,0.0891,0.3985,0.1115,0.1393
57976772.9,0.4842,0.0735,0.49,0.313,0.49,0.0781,0.4098,0.0968,0.1401
63576583.7,0.4767,0.0732,0.49,0.3144,0.49,0.0678,0.4204,0.0833,0.1408
70004663.8,0.4682,0.072,0.49,0.3136,0.49,0.0608,0.4275,0.0734,0.1398
77860261.7,0.4585,0.0692,0.49,0.3097,0.49,0.0575,0.4309,0.0672,0.1371
88938749.0,0.4471,0.0642,0.49,0.306,0.49,0.056,0.4325,0.0632,0.1359
91777462.5,0.4448,0.063,0.49,0.3053,0.49,0.056,0.4325,0.0628,0.136
105332788.2,0.4383,0.0589,0.49,0.2999,0.49,0.0608,0.4275,0.0659,0.1335
135112640.8,0.438,0.0572,0.49,0.2966,0.49,0.0678,0.4204,0.0726,0.1319
208773747.1,0.442,0.0576,0.49,0.2962,0.49,0.073,0.416,0.0779,0.1326
392066151.1,0.4448,0.0579,0.49,0.2966,0.49,0.076,0.4119,0.0824,0.1323
815159056.3,0.4466,0.0583,0.49,0.2944,0.49,0.0802,0.4077,0.0865,0.1302
1315159056.3,0.4481,0.0589,0.49,0.2951,0.49,0.0802,0.4077,0.087,0.1305
1815159056.3,0.4496,0.0594,0.49,0.2958,0.49,0.0802,0.4077,0.0875,0.1309
2315159056.3,0.4509,0.0599,0.49,0.2963,0.49,0.0802,0.4077,0.0879,0.1311
2815159056.3,0.4521,0.0604,0.49,0.2986,0.49,0.0781,0.4098,0.0865,0.1329
3315159056.3,0.4533,0.0609,0.49,0.299,0.49,0.0781,0.4098,0.0869,0.133
3815159056.3,0.4544,0.0613,0.49,0.2993,0.49,0.0781,0.4098,0.0871,0.1331
4315159056.3,0.4553,0.0617,0.49,0.2996,0.49,0.0781,0.4098,0.0874,0.1331
4815159056.3,0.4563,0.0622,0.49,0.3017,0.49,0.076,0.4119,0.0859,0.1347
5315159056.3,0.4572,0.0626,0.49,0.302,0.49,0.076,0.4119,0.0861,0.1347
5815159056.3,0.4581,0.063,0.49,0.3022,0.49,0.076,0.4119,0.0864,0.1346
6315159056.3,0.459,0.0634,0.49,0.3024,0.49,0.076,0.4119,0.0866,0.1346
6815159056.3,0.4599,0.0638,0.49,0.3044,0.49,0.074,0.414,0.0851,0.1362
7315159056.3,0.4607,0.0643,0.49,0.3046,0.49,0.074,0.414,0.0852,0.1361
7815159056.3,0.4616,0.0647,0.49,0.3048,0.49,0.074,0.414,0.0854,0.136
8315159056.3,0.4625,0.0651,0.49,0.305,0.49,0.074,0.414,0.0856,0.1359
8815159056.3,0.4633,0.0656,0.49,0.3051,0.49,0.074,0.414,0.0858,0.1358
9315159056.3,0.4642,0.066,0.49,0.3062,0.49,0.073,0.416,0.0843,0.1373
9815159056.3,0.465,0.0665,0.49,0.3064,0.49,0.073,0.416,0.0845,0.1372
10315159056.3,0.4659,0.0669,0.49,0.3066,0.49,0.073,0.416,0.0847,0.1371
10815159056.3,0.4668,0.0674,0.49,0.3067,0.49,0.073,0.416,0.0848,0.137
11315159056.3,0.4676,0.0678,0.49,0.3069,0.49,0.073,0.416,0.085,0.1369
11815159056.3,0.4685,0.0683,0.49,0.3085,0.49,0.0715,0.417,0.0844,0.1376
12315159056.3,0.4694,0.0687,0.49,0.3086,0.49,0.0715,0.417,0.0845,0.1375
12815159056.3,0.4702,0.0692,0.49,0.3088,0.49,0.0715,0.417,0.0847,0.1373
13315159056.3,0.4711,0.0697,0.49,0.309,0.49,0.0715,0.417,0.0849,0.1372
13815159056.3,0.472,0.0702,0.49,0.3091,0.49,0.0715,0.417,0.0851,0.1371
14315159056.3,0.4729,0.0707,0.49,0.3112,0.49,0.0696,0.4185,0.084,0.1382
14815159056.3,0.4738,0.0712,0.49,0.3114,0.49,0.0696,0.4185,0.0842,0.138
15315159056.3,0.4747,0.0717,0.49,0.3115,0.49,0.0696,0.4185,0.0844,0.1379
15815159056.3,0.4756,0.0722,0.49,0.3137,0.49,0.0677,0.4204,0.0829,0.1394
16315159056.3,0.4765,0.0727,0.49,0.3138,0.49,0.0677,0.4204,0.0831,0.1393
16815159056.3,0.4774,0.0732,0.49,0.314,0.49,0.0677,0.4204,0.0833,0.1391
17315159056.3,0.4784,0.0738,0.49,0.3142,0.49,0.0677,0.4204,0.0835,0.139
17815159056.3,0.4793,0.0743,0.49,0.3143,0.49,0.0677,0.4204,0.0836,0.1388
18315159056.3,0.4802,0.0749,0.49,0.3145,0.49,0.0677,0.4204,0.0838,0.1387
18815159056.3,0.4812,0.0754,0.49,0.3147,0.49,0.0677,0.4204,0.084,0.1385
19315159056.3,0.4821,0.076,0.49,0.3169,0.49,0.0659,0.4222,0.0825,0.14
19815159056.3,0.4831,0.0766,0.4899,0.317,0.49,0.0659,0.4222,0.0827,0.1398
20315159056.3,0.4841,0.0772,0.4899,0.3172,0.49,0.0659,0.4222,0.0829,0.1397
20815159056.3,0.4851,0.0778,0.4899,0.3174,0.49,0.0659,0.4222,0.0831,0.1395
21315159056.3,0.4861,0.0784,0.4899,0.3176,0.49,0.0659,0.4222,0.0833,0.1394
21815159056.3,0.4871,0.079,0.4899,0.3198,0.49,0.0641,0.424,0.0819,0.1408
22315159056.3,0.4881,0.0796,0.4899,0.32,0.49,0.0641,0.424,0.0821,0.1407
22815159056.3,0.4891,0.0803,0.4899,0.3202,0.49,0.0641,0.424,0.0823,0.1405
23315159056.3,0.4902,0.0809,0.4899,0.3204,0.49,0.0641,0.424,0.0825,0.1403
23815159056.3,0.4912,0.0816,0.4899,0.3226,0.49,0.0624,0.4258,0.081,0.1418
24315159056.3,0.4923,0.0823,0.4899,0.3228,0.49,0.0624,0.4258,0.0812,0.1416
24815159056.3,0.4933,0.083,0.4899,0.323,0.49,0.0624,0.4258,0.0814,0.1415
25315159056.3,0.4944,0.0837,0.4899,0.3232,0.49,0.0624,0.4258,0.0816,0.1413
25815159056.3,0.4955,0.0844,0.4899,0.3235,0.49,0.0624,0.4258,0.0819,0.1411
26315159056.3,0.4966,0.0851,0.4899,0.3258,0.49,0.0607,0.4275,0.0804,0.1426
26815159056.3,0.4977,0.0859,0.4899,0.326,0.49,0.0607,0.4275,0.0807,0.1424
27315159056.3,0.4989,0.0867,0.4899,0.3262,0.49,0.0607,0.4275,0.0809,0.1422
27815159056.3,0.5,0.0874,0.4899,0.3264,0.49,0.0607,0.4275,0.0811,0.142
28315159056.3,0.5012,0.0882,0.4899,0.3267,0.49,0.0607,0.4275,0.0813,0.1418
28815159056.3,0.5024,0.089,0.4899,0.329,0.49,0.059,0.4292,0.0799,0.1433
29315159056.3,0.5035,0.0899,0.4899,0.3293,0.49,0.059,0.4292,0.0801,0.1431
29815159056.3,0.5048,0.0907,0.4899,0.3295,0.49,0.059,0.4292,0.0804,0.1429
30315159056.3,0.506,0.0916,0.4899,0.3298,0.49,0.059,0.4292,0.0806,0.1427
30815159056.3,0.5072,0.0924,0.4899,0.3322,0.49,0.0574,0.4309,0.0792,0.1441
31315159056.3,0.5085,0.0933,0.4899,0.3325,0.49,0.0574,0.4309,0.0795,0.1439
31815159056.3,0.5097,0.0943,0.4899,0.3327,0.49,0.0574,0.4309,0.0797,0.1438
32315159056.3,0.511,0.0952,0.4899,0.333,0.49,0.0574,0.4309,0.0799,0.1436
32815159056.3,0.5123,0.0962,0.4899,0.3333,0.49,0.0574,0.4309,0.0802,0.1434
33315159056.3,0.5136,0.0971,0.4899,0.3358,0.49,0.0559,0.4325,0.0788,0.1448
33815159056.3,0.515,0.0981,0.4899,0.3361,0.49,0.0559,0.4325,0.0791,0.1446
34315159056.3,0.5163,0.0992,0.4899,0.3364,0.49,0.0559,0.4325,0.0793,0.1444
34815159056.3,0.5177,0.1002,0.4899,0.3367,0.49,0.0559,0.4325,0.0796,0.1442
35315159056.3,0.5191,0.1013,0.4899,0.337,0.49,0.0558,0.4325,0.0799,0.144
35815159056.3,0.5205,0.1024,0.4899,0.3396,0.49,0.0543,0.434,0.0785,0.1454
36315159056.3,0.522,0.1035,0.4899,0.3399,0.49,0.0543,0.434,0.0788,0.1452
36815159056.3,0.5234,0.1047,0.4899,0.3403,0.49,0.0543,0.434,0.0791,0.145
37315159056.3,0.5249,0.1059,0.4899,0.3406,0.49,0.0543,0.434,0.0794,0.1448
37815159056.3,0.5265,0.1071,0.4899,0.3432,0.49,0.0528,0.4356,0.078,0.1462
38315159056.3,0.528,0.1083,0.4899,0.3436,0.49,0.0528,0.4356,0.0783,0.146
38815159056.3,0.5296,0.1096,0.4899,0.344,0.49,0.0528,0.4356,0.0786,0.1458
39315159056.3,0.5312,0.1109,0.4899,0.3444,0.49,0.0528,0.4356,0.0789,0.1456
39815159056.3,0.5328,0.1123,0.4899,0.3448,0.49,0.0528,0.4356,0.0792,0.1454
40315159056.3,0.5344,0.1137,0.4899,0.3475,0.49,0.0514,0.4371,0.078,0.1468
40815159056.3,0.5361,0.1151,0.4899,0.348,0.49,0.0513,0.4371,0.0783,0.1466
41315159056.3,0.5378,0.1166,0.4899,0.3484,0.49,0.0513,0.4371,0.0786,0.1464
41815159056.3,0.5396,0.1181,0.4899,0.3489,0.49,0.0513,0.4371,0.0789,0.1462
42315159056.3,0.5413,0.1196,0.4899,0.3493,0.49,0.0513,0.4371,0.0793,0.146
42815159056.3,0.5432,0.1212,0.4899,0.3522,0.49,0.0499,0.4385,0.078,0.1474
43315159056.3,0.545,0.1229,0.4899,0.3527,0.49,0.0499,0.4385,0.0784,0.1472
43815159056.3,0.5469,0.1246,0.4899,0.3532,0.49,0.0499,0.4385,0.0787,0.147
44315159056.3,0.5488,0.1264,0.4898,0.3538,0.49,0.0499,0.4385,0.0791,0.1468
44815159056.3,0.5508,0.1282,0.4898,0.3567,0.49,0.0485,0.4399,0.0779,0.1482
45315159056.3,0.5529,0.13,0.4898,0.3573,0.49,0.0485,0.4399,0.0782,0.1481
45815159056.3,0.5549,0.132,0.4898,0.3579,0.49,0.0485,0.4399,0.0786,0.1479
46315159056.3,0.5571,0.134,0.4898,0.3586,0.49,0.0485,0.4399,0.0791,0.1477
46815159056.3,0.5593,0.1361,0.4898,0.3592,0.49,0.0485,0.4399,0.0795,0.1475
47315159056.3,0.5615,0.1382,0.4898,0.3599,0.49,0.0485,0.4399,0.0799,0.1474
47815159056.3,0.5638,0.1404,0.4898,0.3631,0.49,0.0472,0.4413,0.0788,0.1488
48315159056.3,0.5662,0.1427,0.4898,0.3639,0.49,0.0472,0.4413,0.0792,0.1487
48815159056.3,0.5687,0.1451,0.4898,0.3646,0.49,0.0472,0.4413,0.0797,0.1485
49315159056.3,0.5712,0.1476,0.4898,0.3654,0.49,0.0471,0.4413,0.0802,0.1484
49815159056.3,0.5738,0.1502,0.4898,0.3663,0.49,0.0471,0.4413,0.0807,0.1482
50315159056.3,0.5762,0.1527,0.4898,0.3696,0.49,0.0458,0.4427,0.0795,0.1497
50815159056.3,0.5785,0.1552,0.4898,0.3703,0.49,0.0458,0.4427,0.08,0.1495
51315159056.3,0.581,0.1578,0.4898,0.3711,0.49,0.0458,0.4427,0.0805,0.1494
51815159056.3,0.5835,0.1605,0.4898,0.3719,0.49,0.0458,0.4427,0.081,0.1492
52315159056.3,0.5862,0.1634,0.4898,0.3728,0.49,0.0458,0.4427,0.0815,0.1491
52815159056.3,0.5889,0.1664,0.4898,0.3763,0.49,0.0445,0.444,0.0804,0.1507
53315159056.3,0.5918,0.1695,0.4898,0.3773,0.49,0.0445,0.444,0.0809,0.1506
53815159056.3,0.5948,0.1727,0.4898,0.3783,0.49,0.0445,0.444,0.0815,0.1505
54315159056.3,0.5979,0.1762,0.4898,0.3794,0.49,0.0445,0.444,0.0821,0.1504
54815159056.3,0.6011,0.1798,0.4898,0.3805,0.49,0.0445,0.444,0.0828,0.1504
55315159056.3,0.6044,0.1836,0.4898,0.3817,0.49,0.0445,0.444,0.0835,0.1503
55815159056.3,0.6079,0.1875,0.4898,0.3858,0.49,0.0433,0.4453,0.0825,0.152
56315159056.3,0.6116,0.1917,0.4898,0.3871,0.49,0.0432,0.4453,0.0833,0.152
56815159056.3,0.6154,0.1962,0.4898,0.3886,0.49,0.0432,0.4453,0.084,0.152
