age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
533389.0,1.9323,1.1012,0.47,0.0,0.47,0.47,0.0,4.7132,0.0
571632.4,1.8833,1.038,0.47,0.0,0.47,0.47,0.0,4.4826,0.0
613149.0,1.8356,0.9782,0.47,0.0,0.47,0.47,0.0,4.2638,0.0
658221.4,1.7893,0.922,0.47,0.0,0.47,0.47,0.0,4.0562,0.0
707163.4,1.7443,0.869,0.47,0.0,0.47,0.47,0.0,3.859,0.0
760368.4,1.7005,0.8189,0.47,0.0,0.47,0.47,0.0,3.6715,0.0
818127.7,1.6578,0.7717,0.47,0.0,0.47,0.47,0.0,3.4934,0.0
880823.9,1.6164,0.7272,0.47,0.0,0.47,0.47,0.0,3.3244,0.0
948793.6,1.5761,0.6854,0.47,0.0,0.47,0.47,0.0,3.1641,0.0
1022647.6,1.5369,0.646,0.47,0.0,0.47,0.47,0.0,3.0116,0.0
1102668.6,1.4988,0.609,0.47,0.0,0.47,0.47,0.0,2.867,0.0
1189688.5,1.4617,0.5741,0.47,0.0,0.47,0.47,0.0,2.7293,0.0
1283997.4,1.4256,0.5413,0.47,0.0,0.47,0.47,0.0,2.5986,0.0
1386116.7,1.3905,0.5105,0.47,0.0,0.47,0.47,0.0,2.4746,0.0
1496863.4,1.3564,0.4816,0.47,0.0,0.47,0.47,0.0,2.3567,0.0
1617255.7,1.3231,0.4543,0.47,0.0,0.47,0.47,0.0,2.2443,0.0
1747626.7,1.2907,0.4287,0.47,0.0,0.47,0.47,0.0,2.1376,0.0
1888498.3,1.2593,0.4047,0.47,0.0,0.47,0.47,0.0,2.0364,0.0
2041471.9,1.2286,0.3821,0.47,0.0,0.47,0.47,0.0,1.94,0.0
2206950.1,1.1988,0.3609,0.47,0.0,0.47,0.47,0.0,1.8484,0.0
2386086.7,1.1697,0.3409,0.47,0.0,0.47,0.47,0.0,1.7612,0.0
2580634.1,1.1414,0.3221,0.47,0.0,0.47,0.47,0.0,1.6781,0.0
2791138.1,1.1137,0.3044,0.47,0.0,0.47,0.47,0.0,1.599,0.0
3018799.6,1.0868,0.2878,0.47,0.0,0.47,0.47,0.0,1.5238,0.0
3264915.8,1.0607,0.2722,0.47,0.0,0.47,0.47,0.0,1.4523,0.0
3530780.6,1.0352,0.2575,0.47,0.0,0.47,0.47,0.0,1.3843,0.0
3816548.4,1.0105,0.2438,0.47,0.0,0.47,0.47,0.0,1.3199,0.0
4126720.6,0.9863,0.2309,0.47,0.0,0.47,0.47,0.0,1.2582,0.0
4461661.5,0.9627,0.2187,0.47,0.0887,0.47,0.4678,0.0016,1.1995,0.0001
4823034.7,0.9398,0.2073,0.47,0.1227,0.47,0.4639,0.0035,1.1435,0.0002
5211890.5,0.9175,0.1966,0.47,0.142,0.47,0.4599,0.0061,1.0902,0.0005
5631214.3,0.8958,0.1865,0.47,0.1623,0.47,0.4541,0.0126,1.0387,0.0015
6084868.6,0.8747,0.177,0.47,0.1837,0.47,0.4457,0.0218,0.9883,0.0036
6574066.6,0.8541,0.1681,0.47,0.192,0.47,0.4406,0.0268,0.9411,0.0049
7100645.2,0.8341,0.1597,0.47,0.2044,0.47,0.4325,0.0347,0.895,0.0073
7668952.3,0.8146,0.1518,0.47,0.2198,0.47,0.4212,0.0459,0.8494,0.0112
8281502.7,0.7957,0.1444,0.47,0.2281,0.47,0.4124,0.0546,0.8065,0.0143
8942717.4,0.7773,0.1374,0.47,0.235,0.47,0.4034,0.0636,0.7652,0.0177
9655580.1,0.7594,0.1308,0.47,0.2409,0.47,0.3943,0.0727,0.7254,0.0212
10423666.6,0.742,0.1246,0.47,0.2492,0.47,0.3819,0.085,0.6856,0.0264
11251550.1,0.7251,0.1188,0.47,0.2546,0.47,0.3711,0.0974,0.6472,0.0319
12142029.3,0.7088,0.1134,0.47,0.259,0.47,0.3602,0.1067,0.612,0.0356
13104391.1,0.6929,0.1082,0.47,0.264,0.47,0.3478,0.1191,0.5765,0.041
14143350.5,0.6775,0.1034,0.47,0.2694,0.47,0.3339,0.133,0.5413,0.0474
15263805.3,0.6625,0.0989,0.47,0.2713,0.47,0.3233,0.1452,0.5086,0.0526
16471892.9,0.648,0.0946,0.47,0.2739,0.47,0.3113,0.1557,0.4783,0.0566
17774929.7,0.634,0.0907,0.47,0.2769,0.47,0.298,0.169,0.4474,0.0623
19182793.8,0.6204,0.087,0.47,0.2781,0.47,0.2865,0.1807,0.419,0.0666
20701612.1,0.6073,0.0835,0.47,0.2809,0.47,0.2724,0.1948,0.39,0.0725
22340902.8,0.5947,0.0803,0.47,0.2839,0.47,0.2574,0.21,0.3616,0.0789
24115632.9,0.5825,0.0773,0.47,0.2853,0.47,0.2441,0.2232,0.3355,0.0838
26039284.6,0.5708,0.0746,0.47,0.2861,0.47,0.2314,0.2361,0.3109,0.0881
28122342.2,0.5595,0.0721,0.47,0.2865,0.47,0.2191,0.2485,0.2877,0.0918
30383935.4,0.5487,0.0697,0.47,0.2887,0.47,0.2038,0.2639,0.2634,0.0974
32841862.9,0.5384,0.0677,0.47,0.2895,0.47,0.1905,0.2774,0.2414,0.1014
35518357.4,0.5286,0.0658,0.47,0.2905,0.47,0.1767,0.2912,0.2202,0.1054
38442295.3,0.5193,0.0642,0.47,0.2944,0.47,0.159,0.3082,0.1975,0.1115
41640918.0,0.5106,0.0628,0.47,0.295,0.47,0.1462,0.322,0.178,0.115
45159159.7,0.5024,0.0617,0.47,0.2957,0.47,0.1334,0.3333,0.1614,0.1163
49055062.8,0.4948,0.0609,0.47,0.2977,0.47,0.1193,0.3477,0.1432,0.1198
