age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
500380.8,1.9522,1.0913,0.45,0.0,0.45,0.45,0.0,4.5969,0.0
535456.3,1.9027,1.0287,0.45,0.0,0.45,0.45,0.0,4.3721,0.0
573547.9,1.8545,0.9696,0.45,0.0,0.45,0.45,0.0,4.1586,0.0
614901.7,1.8076,0.9138,0.45,0.0,0.45,0.45,0.0,3.9559,0.0
659775.0,1.7621,0.8613,0.45,0.0,0.45,0.45,0.0,3.7636,0.0
708510.8,1.7178,0.8118,0.45,0.0,0.45,0.45,0.0,3.5809,0.0
761368.1,1.6748,0.7652,0.45,0.0,0.45,0.45,0.0,3.4076,0.0
818776.6,1.6329,0.7213,0.45,0.0,0.45,0.45,0.0,3.2429,0.0
881107.2,1.5921,0.6799,0.45,0.0,0.45,0.45,0.0,3.0863,0.0
948724.8,1.5525,0.641,0.45,0.0,0.45,0.45,0.0,2.9377,0.0
1022092.3,1.5139,0.6044,0.45,0.0,0.45,0.45,0.0,2.7964,0.0
1101725.3,1.4764,0.57,0.45,0.0,0.45,0.45,0.0,2.6622,0.0
1187968.1,1.4399,0.5376,0.45,0.0,0.45,0.45,0.0,2.5348,0.0
1281645.1,1.4044,0.5071,0.45,0.0,0.45,0.45,0.0,2.4135,0.0
1383201.3,1.3698,0.4785,0.45,0.0,0.45,0.45,0.0,2.2983,0.0
1493174.7,1.3362,0.4516,0.45,0.0,0.45,0.45,0.0,2.1889,0.0
1612407.0,1.3035,0.4262,0.45,0.0,0.45,0.45,0.0,2.0848,0.0
1741600.1,1.2716,0.4025,0.45,0.0,0.45,0.45,0.0,1.9858,0.0
1881534.0,1.2406,0.3801,0.45,0.0,0.45,0.45,0.0,1.8917,0.0
2033007.6,1.2104,0.3591,0.45,0.0,0.45,0.45,0.0,1.8022,0.0
2196832.8,1.181,0.3393,0.45,0.0,0.45,0.45,0.0,1.7171,0.0
2373658.2,1.1524,0.3208,0.45,0.0,0.45,0.45,0.0,1.6364,0.0
2565542.8,1.1246,0.3033,0.45,0.0,0.45,0.45,0.0,1.5594,0.0
2773026.7,1.0974,0.2869,0.45,0.0,0.45,0.45,0.0,1.4861,0.0
2997266.8,1.071,0.2714,0.45,0.0,0.45,0.45,0.0,1.4164,0.0
3239277.9,1.0452,0.2569,0.45,0.0,0.45,0.45,0.0,1.3501,0.0
3500233.7,1.0202,0.2432,0.45,0.0,0.45,0.45,0.0,1.2872,0.0
3783046.6,0.9958,0.2304,0.45,0.0,0.45,0.45,0.0,1.227,0.0
4088216.8,0.972,0.2183,0.45,0.0,0.45,0.45,0.0,1.1698,0.0
4417324.0,0.9488,0.2069,0.45,0.0,0.45,0.45,0.0,1.1154,0.0
4771658.0,0.9262,0.1962,0.45,0.0,0.45,0.45,0.0,1.0636,0.0
5154364.3,0.9042,0.1861,0.45,0.083,0.45,0.4479,0.0015,1.0142,0.0
5566816.3,0.8828,0.1765,0.45,0.1086,0.45,0.4451,0.0034,0.9671,0.0002
6010999.3,0.8619,0.1676,0.45,0.1356,0.45,0.4399,0.0083,0.9218,0.0007
6489388.4,0.8416,0.1592,0.45,0.1448,0.45,0.4369,0.0101,0.879,0.001
7004382.1,0.8218,0.1512,0.45,0.1646,0.45,0.4297,0.0186,0.8369,0.0025
7559761.6,0.8026,0.1437,0.45,0.1805,0.45,0.4219,0.0257,0.7966,0.0042
8157798.5,0.7839,0.1367,0.45,0.1897,0.45,0.4155,0.0326,0.758,0.006
8800955.8,0.7657,0.13,0.45,0.2044,0.45,0.4047,0.0426,0.7199,0.009
9493922.9,0.748,0.1238,0.45,0.2125,0.45,0.3963,0.0509,0.6837,0.0116
10240442.1,0.7308,0.1179,0.45,0.2192,0.45,0.3877,0.0594,0.649,0.0144
11042148.8,0.7141,0.1123,0.45,0.2285,0.45,0.376,0.071,0.6143,0.0186
11907974.8,0.6978,0.1071,0.45,0.233,0.45,0.3672,0.0814,0.5814,0.0224
12839373.2,0.682,0.1022,0.45,0.2382,0.45,0.3568,0.0903,0.5505,0.0256
13844180.5,0.6667,0.0975,0.45,0.2411,0.45,0.3478,0.0992,0.5208,0.0287
14927058.8,0.6517,0.0932,0.45,0.246,0.45,0.3359,0.1111,0.4908,0.0333
16093683.9,0.6373,0.089,0.45,0.2501,0.45,0.3241,0.1229,0.462,0.0378
17350678.0,0.6232,0.0852,0.45,0.2534,0.45,0.3124,0.1346,0.4344,0.0422
18704238.8,0.6097,0.0816,0.45,0.256,0.45,0.3009,0.1462,0.4079,0.0465
20164804.9,0.5965,0.0782,0.45,0.258,0.45,0.2896,0.1576,0.3827,0.0505
21738991.0,0.5837,0.075,0.45,0.2594,0.45,0.2784,0.1688,0.3587,0.0543
23438938.1,0.5714,0.072,0.45,0.2622,0.45,0.2648,0.1825,0.3341,0.0594
25274812.8,0.5595,0.0692,0.45,0.2644,0.45,0.2516,0.1958,0.3108,0.0641
27260602.7,0.548,0.0666,0.45,0.2655,0.45,0.2394,0.2087,0.2886,0.0684
29403805.9,0.5369,0.0642,0.45,0.2679,0.45,0.2252,0.2224,0.267,0.073
