age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
513404.9,2.9599,2.9782,0.95,0.0,0.95,0.95,0.0,21.8348,0.0
551595.1,2.8822,2.8397,0.95,0.0,0.95,0.95,0.0,20.7268,0.0
592726.6,2.8067,2.7066,0.95,0.0,0.95,0.95,0.0,19.6758,0.0
636985.8,2.7332,2.5791,0.95,0.0,0.95,0.95,0.0,18.6796,0.0
684651.1,2.6618,2.4571,0.95,0.0,0.95,0.95,0.0,17.7349,0.0
735973.1,2.5923,2.341,0.95,0.0,0.95,0.95,0.0,16.8391,0.0
791220.1,2.5248,2.2298,0.95,0.0,0.95,0.95,0.0,15.9899,0.0
850701.9,2.4591,2.1237,0.95,0.0,0.95,0.95,0.0,15.1847,0.0
914791.6,2.3953,2.0219,0.95,0.0,0.95,0.95,0.0,14.4209,0.0
983856.7,2.3332,1.925,0.95,0.0,0.95,0.95,0.0,13.6962,0.0
1058261.9,2.2728,1.8322,0.95,0.0,0.95,0.95,0.0,13.0089,0.0
1138445.7,2.214,1.7436,0.95,0.0,0.95,0.95,0.0,12.3571,0.0
1224825.0,2.1569,1.659,0.95,0.0,0.95,0.95,0.0,11.739,0.0
1317927.0,2.1014,1.5781,0.95,0.0,0.95,0.95,0.0,11.1527,0.0
1418309.0,2.0474,1.5012,0.95,0.0,0.95,0.95,0.0,10.5963,0.0
1526549.2,1.9948,1.4274,0.95,0.0,0.95,0.95,0.0,10.0688,0.0
1643279.7,1.9438,1.3573,0.95,0.0,0.95,0.95,0.0,9.5685,0.0
1769268.6,1.8941,1.2902,0.95,0.0,0.95,0.95,0.0,9.0938,0.0
1905251.1,1.8458,1.226,0.95,0.0,0.95,0.95,0.0,8.6433,0.0
2052046.2,1.7988,1.1642,0.95,0.0,0.95,0.95,0.0,8.2153,0.0
2210345.9,1.7529,1.1062,0.95,0.1416,0.95,0.9468,0.0016,7.8085,0.0001
2380973.1,1.7084,1.0505,0.95,0.1943,0.95,0.9412,0.0071,7.4212,0.0013
2565169.5,1.6651,0.9974,0.95,0.2606,0.95,0.9277,0.016,7.0511,0.0047
2764390.5,1.623,0.947,0.95,0.2955,0.95,0.9155,0.0277,6.6962,0.0112
2979886.0,1.5821,0.8992,0.95,0.332,0.95,0.8984,0.0466,6.3508,0.0255
3213090.0,1.5424,0.8538,0.95,0.3559,0.95,0.8825,0.0621,6.0222,0.0394
